Year_Birth,Education,Marital_Status,Income,Dt_Customer,Last_Purchase,Wines,Fruits,Meat,Fish,Sweet,Gold,Deal_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Web_Visits,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Customer_From,Total_Spending,Luxury_Spending,Necessity_Spending,Need_Attention,Luxury_Consumer,CLV
1957,0,1,0.5,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,66,3771,1617,723,894,1,0,0.42879872712808276
1954,0,1,0.4,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,69,3221,27,17,10,1,1,0.008382489909965849
1965,0,0,0.62,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,58,3420,776,468,308,0,1,0.22690058479532163
1984,0,0,0.22,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,39,3247,53,16,37,0,0,0.01632275947028026
1981,1,0,0.51,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,42,3269,422,188,234,1,0,0.12909146527990212
1967,1,0,0.54,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,56,3401,716,534,182,0,1,0.21052631578947367
1971,0,1,0.48,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,52,3701,590,262,328,1,0,0.1594163739529857
1985,1,0,0.28,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,38,3525,169,99,70,1,1,0.04794326241134752
1974,1,0,0.26,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,49,3496,46,16,30,0,0,0.013157894736842105
1950,1,0,0.03,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,2,73,3216,49,41,8,1,1,0.015236318407960199
1983,0,0,0.45,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,1,40,3334,19,6,13,0,0,0.005698860227954409
1976,0,0,0.05,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,47,3701,61,22,39,1,0,0.01648203188327479
1959,0,1,0.55,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,64,3334,1102,224,878,1,0,0.33053389322135573
1952,1,1,0.51,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,2,71,3334,310,247,63,1,1,0.09298140371925614
1987,0,0,0.14,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,36,3735,46,8,38,1,0,0.012315930388219544
1946,1,1,0.72,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,77,3690,1315,1051,264,0,1,0.35636856368563685
1980,0,0,0.36,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,43,3660,96,57,39,1,1,0.02622950819672131
1946,0,0,0.32,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,77,3775,317,112,205,0,0,0.08397350993377484
1949,1,0,0.67,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,74,3566,1782,1188,594,1,1,0.4997195737521032
1985,1,1,0.29,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,38,3711,133,43,90,1,0,0.035839396389113445
1982,0,0,0.32,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,41,3798,316,134,182,1,0,0.0832016850974197
1979,0,0,0.01,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,44,3647,1730,2,1728,1,0,0.4743624897175761
1949,1,0,0.51,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,74,3661,972,886,86,1,1,0.2655012291723573
1954,1,0,0.57,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,69,3277,544,389,155,0,1,0.16600549282880683
